Time,Date,Sample,Study plot,Petal side,gsw,leak_pct,plant
10:32:59,3/25/2025,8.0,A,bottom,0.000187,0.9,#8
10:33:34,3/25/2025,8.0,A,top,0.017395,0.6,#8
10:35:15,3/25/2025,9.0,A,bottom,0.014575,0.9,#9
10:35:39,3/25/2025,9.0,A,top,0.004787,0.9,#9
10:42:04,3/25/2025,10.0,A,bottom,0.008002,0.9,#10
10:42:27,3/25/2025,10.0,A,top,-0.008833,0.7,#10
10:45:27,3/25/2025,11.0,A,bottom,0.010279,0.7,#11
10:46:08,3/25/2025,11.0,A,top,0.007218,0.9,#11
10:51:12,3/25/2025,12.0,A,bottom,-0.016649,0.9,#12
10:51:44,3/25/2025,12.0,A,top,-0.008076,1.2,#12
10:57:17,3/25/2025,13.0,A,bottom,0.017446,1.0,#13
10:57:48,3/25/2025,13.0,A,top,0.013236,0.9,#13
11:04:19,3/25/2025,14.0,A,bottom,-0.010972,0.9,#14
11:04:43,3/25/2025,14.0,A,top,0.000908,1.1,#14
11:41:52,3/25/2025,15.0,A,bottom,0.033214,0.9,#15
11:42:13,3/25/2025,15.0,A,top,-0.001036,1.4,#15
11:48:08,3/25/2025,16.0,A,bottom,0.011535,1.1,#16
11:48:33,3/25/2025,16.0,A,top,0.00414,1.4,#16
11:49:33,3/25/2025,17.0,A,bottom,-0.010435,1.1,#17
11:49:54,3/25/2025,17.0,A,top,0.006398,1.3,#17
11:54:52,3/25/2025,18.0,A,bottom,0.005965,1.3,#18
11:56:02,3/25/2025,18.0,A,top,0.015435,1.1,#18
11:58:53,3/25/2025,19.0,A,bottom,0.096755,1.1,#19
11:59:30,3/25/2025,19.0,A,top,0.03243,1.0,#19
12:01:57,3/25/2025,20.0,A,bottom,0.008359,1.1,#20
12:02:16,3/25/2025,20.0,A,top,0.001801,1.0,#20
12:07:50,3/25/2025,21.0,A,bottom,0.00321,1.4,#21
12:08:28,3/25/2025,21.0,A,top,-0.009823,1.1,#21
12:10:44,3/25/2025,22.0,A,bottom,-0.002608,0.8,#22
12:11:09,3/25/2025,22.0,A,top,0.006136,1.1,#22
12:13:30,3/25/2025,23.0,A,bottom,-0.006015,1.2,#23
12:13:57,3/25/2025,23.0,A,top,0.003869,1.2,#23
